         111
   3.096021169315e-04   1.524466748673e-02
   1.430435515131e-03   1.548658027355e-02
   3.425649966810e-03   1.569434080060e-02
   6.355109182542e-03   1.586927639714e-02
   1.026338755878e-02   1.601202072037e-02
   1.519008787418e-02   1.612408339839e-02
   2.116596134218e-02   1.620712338549e-02
   2.821732311623e-02   1.626307813929e-02
   3.635473997917e-02   1.629397105831e-02
   4.556885731416e-02   1.630194133028e-02
   5.584965080815e-02   1.628932198583e-02
   6.717919579031e-02   1.625838314173e-02
   7.953279545539e-02   1.621139281112e-02
   9.287564876494e-02   1.615053391476e-02
   1.071680983643e-01   1.607792523311e-02
   1.223726666109e-01   1.599554233665e-02
   1.384503299056e-01   1.590524768605e-02
   1.553609961337e-01   1.580880818636e-02
   1.730418573853e-01   1.570804456646e-02
   1.914650451425e-01   1.560453362097e-02
   2.105955587421e-01   1.549990204135e-02
   2.303973318661e-01   1.539584709415e-02
   2.508171010592e-01   1.529429064589e-02
   2.718054853617e-01   1.519733540424e-02
   2.933566751384e-01   1.510720829004e-02
   3.154413949111e-01   1.502628335763e-02
   3.380012706063e-01   1.495333119159e-02
   3.609605822484e-01   1.488560116094e-02
   3.843086893947e-01   1.482125321421e-02
   4.079832220104e-01   1.475973689150e-02
   4.318470670375e-01   1.470153925284e-02
   4.558345427711e-01   1.464761260172e-02
   4.798960726370e-01   1.459898831183e-02
   5.038966336086e-01   1.455650637857e-02
   5.276803921248e-01   1.451986686375e-02
   5.512455160648e-01   1.448678204464e-02
   5.744205968634e-01   1.445316570629e-02
   5.970811184420e-01   1.441253809020e-02
   6.192569320701e-01   1.435612739773e-02
   6.406481685482e-01   1.427474272547e-02
   6.613977517920e-01   1.415728855869e-02
   6.812701525244e-01   1.399531278695e-02
   7.003482235403e-01   1.377981675469e-02
   7.184531105471e-01   1.350750360423e-02
   7.357290673630e-01   1.317330204249e-02
   7.519198097053e-01   1.278351084503e-02
   7.672745944876e-01   1.233599401944e-02
   7.816144224474e-01   1.184247874076e-02
   7.950105749229e-01   1.130959352344e-02
   8.075750596141e-01   1.074324939441e-02
   8.191941431386e-01   1.016612514342e-02
   8.299591984737e-01   9.593986665424e-03
   8.400117436797e-01   9.034524263737e-03
   8.493973435274e-01   8.496489327327e-03
   8.580432505395e-01   7.992632521812e-03
   8.660812437686e-01   7.521564802543e-03
   8.736152085778e-01   7.081246517144e-03
   8.806873347633e-01   6.672113226251e-03
   8.873372847663e-01   6.293558758464e-03
   8.935648903072e-01   5.946751631540e-03
   8.993565909612e-01   5.632461372190e-03
   9.048412711216e-01   5.344024221298e-03
   9.100471274097e-01   5.079368142328e-03
   9.149991982038e-01   4.836972770336e-03
   9.197204248075e-01   4.615249385192e-03
   9.242317233003e-01   4.412579243800e-03
   9.285528401958e-01   4.228134518712e-03
   9.326794993767e-01   4.061017770031e-03
   9.365942007512e-01   3.910514706349e-03
   9.403732764076e-01   3.774579841622e-03
   9.440290391963e-01   3.650468944209e-03
   9.475743559154e-01   3.538858167440e-03
   9.510203248416e-01   3.438015779815e-03
   9.543770941243e-01   3.347034629222e-03
   9.576555807427e-01   3.266739953853e-03
   9.608649709483e-01   3.195401724910e-03
   9.640139793718e-01   3.132562468202e-03
   9.671110063871e-01   3.077914842195e-03
   9.701645129292e-01   3.031974500244e-03
   9.731784184376e-01   2.994007145432e-03
   9.761614711354e-01   2.963581004197e-03
   9.791251494564e-01   2.940563258229e-03
   9.820771005530e-01   2.924927449507e-03
   9.850250399496e-01   2.916706052300e-03
   9.879770255140e-01   2.915046967636e-03
   9.909418376864e-01   2.919473706018e-03
   9.939279312973e-01   2.929524578341e-03
   9.969441839455e-01   2.945412319057e-03
   1.003060492208e+00   2.995142511346e-03
   1.006169848867e+00   3.028753093476e-03
   1.009337893573e+00   3.068913524759e-03
   1.012540330704e+00   3.113625821534e-03
   1.015749997077e+00   3.161842317975e-03
   1.019037424449e+00   3.213976097236e-03
   1.022418463080e+00   3.270365136731e-03
   1.025903796792e+00   3.330145450111e-03
   1.029504066159e+00   3.392307030837e-03
   1.033229763305e+00   3.456886188513e-03
   1.037092482624e+00   3.522734102085e-03
   1.041103665486e+00   3.589037968843e-03
   1.045275016748e+00   3.654928672790e-03
   1.049618453484e+00   3.719344770119e-03
   1.054059244530e+00   3.780050016785e-03
   1.058620400327e+00   3.837346372131e-03
   1.063375641441e+00   3.892006879453e-03
   1.068336859528e+00   3.944201997976e-03
   1.073516759026e+00   3.994338499748e-03
   1.078928970858e+00   4.043043333201e-03
   1.084588091757e+00   4.091201902572e-03
   1.090492176697e+00   4.139847039776e-03
   1.096515053209e+00   4.189286602959e-03
