      68
    0.000000000000e+00     4.000000000000e-03
    5.670712488395e-04     5.785161168927e-03
    1.656235824588e-03     9.789532820859e-03
    3.378011027234e-03     1.392052130383e-02
    5.835494122582e-03     1.817789037875e-02
    9.084904154790e-03     1.860140481546e-02
    1.324171309283e-02     1.836406437152e-02
    1.837779151863e-02     1.809951083904e-02
    2.461671689786e-02     1.779548616339e-02
    3.205948521320e-02     1.742463600308e-02
    4.082325033461e-02     1.692396146956e-02
    5.105221333007e-02     1.614427477013e-02
    6.285190335733e-02     1.481897551966e-02
    7.637531144308e-02     1.279517507399e-02
    9.174269402938e-02     1.075043799686e-02
    1.090396650990e-01     9.536517907947e-03
    1.283629037588e-01     8.967686241583e-03
    1.497609397550e-01     8.621096726379e-03
    1.732196776749e-01     8.317551392079e-03
    1.986751149931e-01     8.008240776101e-03
    2.259629735210e-01     7.695074208659e-03
    2.548822788300e-01     7.381309743650e-03
    2.852828454738e-01     7.062025581200e-03
    3.170585285724e-01     6.745122321363e-03
    3.499650241172e-01     6.436395278253e-03
    3.835471512378e-01     6.135686651538e-03
    4.171183031961e-01     5.848947486286e-03
    4.499208489055e-01     5.581829194737e-03
    4.814514275822e-01     5.334790357755e-03
    5.113261903665e-01     5.107348727503e-03
    5.393920355426e-01     4.899582258681e-03
    5.656971728107e-01     4.709252482629e-03
    5.905059807910e-01     4.532150908269e-03
    6.141447656606e-01     4.365274627302e-03
    6.369583849306e-01     4.205966960512e-03
    6.592074244807e-01     4.051665882165e-03
    6.810654510951e-01     3.900190948149e-03
    7.026955686169e-01     3.748601821499e-03
    7.242506921821e-01     3.596010027380e-03
    7.457430941986e-01     3.442289549802e-03
    7.671399380591e-01     3.286817292411e-03
    7.884269675822e-01     3.129600977657e-03
    8.095768338968e-01     2.971936667816e-03
    8.304649828446e-01     2.814831375881e-03
    8.509935989403e-01     2.658765712446e-03
    8.711352022137e-01     2.502631707445e-03
    8.909152890199e-01     2.347766618697e-03
    9.103813319507e-01     2.193919759189e-03
    9.295040096933e-01     2.040990572104e-03
    9.481544393766e-01     1.889345864476e-03
    9.661331556296e-01     1.741000051349e-03
    9.832668931974e-01     1.097454476481e-03
    1.000000000000e+00     1.355844781092e-03
    1.016749386548e+00     1.317452543858e-03
    1.034032014599e+00     1.380170458602e-03
    1.051990180765e+00     1.342257111514e-03
    1.070458844957e+00     1.300000000000e-03
    1.089340589654e+00     1.300000000000e-03
    1.108600680417e+00     1.392048944171e-03
    1.128144760164e+00     1.369120973288e-03
    1.147778262856e+00     1.386064713130e-03
    1.167274457794e+00     1.422121693843e-03
    1.186464835487e+00     1.430426063587e-03
    1.205242491663e+00     1.432236781699e-03
    1.220000000000e+00     2.000000000000e-03
    1.240000000000e+00     2.000000000000e-03
    1.260000000000e+00     2.000000000000e-03
    1.280000000000e+00     2.000000000000e-03
